,alg,p,dim,maze
0,dfs,0.2,200,"[[0 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 1 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 0]
 [1 0 0 ... 0 1 1]
 [0 1 0 ... 0 1 0]]"
1,e_astar,0.2,200,"[[0 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 1 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 0]
 [1 0 0 ... 0 1 1]
 [0 1 0 ... 0 1 0]]"
2,m_astar,0.2,200,"[[0 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 1 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 0]
 [1 0 0 ... 0 1 1]
 [0 1 0 ... 0 1 0]]"
3,dfs,0.4,200,"[[0 0 0 ... 0 0 1]
 [1 0 1 ... 1 1 0]
 [1 1 0 ... 0 0 0]
 ...
 [1 1 0 ... 1 0 0]
 [0 0 1 ... 1 0 1]
 [0 1 1 ... 0 0 0]]"
4,e_astar,0.4,200,"[[0 0 0 ... 0 0 1]
 [1 0 1 ... 1 1 0]
 [1 1 0 ... 0 0 0]
 ...
 [1 1 0 ... 1 0 0]
 [0 0 1 ... 1 0 1]
 [0 1 1 ... 0 0 0]]"
5,m_astar,0.4,200,"[[0 0 0 ... 0 0 1]
 [1 0 1 ... 1 1 0]
 [1 1 0 ... 0 0 0]
 ...
 [1 1 0 ... 1 0 0]
 [0 0 1 ... 1 0 1]
 [0 1 1 ... 0 0 0]]"
6,dfs,0.4,200,"[[0 1 0 ... 1 0 1]
 [0 1 0 ... 0 0 1]
 [0 1 0 ... 0 0 0]
 ...
 [0 1 1 ... 1 1 0]
 [1 0 0 ... 1 1 1]
 [1 0 1 ... 1 0 0]]"
7,e_astar,0.4,200,"[[0 1 0 ... 1 0 1]
 [0 1 0 ... 0 0 1]
 [0 1 0 ... 0 0 0]
 ...
 [0 1 1 ... 1 1 0]
 [1 0 0 ... 1 1 1]
 [1 0 1 ... 1 0 0]]"
8,m_astar,0.4,200,"[[0 1 0 ... 1 0 1]
 [0 1 0 ... 0 0 1]
 [0 1 0 ... 0 0 0]
 ...
 [0 1 1 ... 1 1 0]
 [1 0 0 ... 1 1 1]
 [1 0 1 ... 1 0 0]]"
9,dfs,0.4,200,"[[0 0 1 ... 0 0 0]
 [0 0 0 ... 1 0 0]
 [0 1 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 1]
 [1 0 1 ... 1 1 0]]"
10,e_astar,0.4,200,"[[0 0 1 ... 0 0 0]
 [0 0 0 ... 1 0 0]
 [0 1 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 1]
 [1 0 1 ... 1 1 0]]"
11,m_astar,0.4,200,"[[0 0 1 ... 0 0 0]
 [0 0 0 ... 1 0 0]
 [0 1 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 1]
 [1 0 1 ... 1 1 0]]"
12,dfs,0.5,200,"[[0 0 0 ... 1 0 1]
 [1 0 1 ... 1 0 1]
 [0 1 0 ... 0 0 0]
 ...
 [1 1 1 ... 0 1 0]
 [0 1 1 ... 1 0 1]
 [0 0 0 ... 1 1 0]]"
13,e_astar,0.5,200,"[[0 0 0 ... 1 0 1]
 [1 0 1 ... 1 0 1]
 [0 1 0 ... 0 0 0]
 ...
 [1 1 1 ... 0 1 0]
 [0 1 1 ... 1 0 1]
 [0 0 0 ... 1 1 0]]"
14,m_astar,0.5,200,"[[0 0 0 ... 1 0 1]
 [1 0 1 ... 1 0 1]
 [0 1 0 ... 0 0 0]
 ...
 [1 1 1 ... 0 1 0]
 [0 1 1 ... 1 0 1]
 [0 0 0 ... 1 1 0]]"
15,dfs,0.5,200,"[[0 0 0 ... 0 0 0]
 [0 0 1 ... 1 0 1]
 [1 0 1 ... 0 1 1]
 ...
 [1 1 0 ... 0 0 0]
 [1 1 1 ... 0 0 1]
 [1 0 1 ... 1 0 0]]"
16,e_astar,0.5,200,"[[0 0 0 ... 0 0 0]
 [0 0 1 ... 1 0 1]
 [1 0 1 ... 0 1 1]
 ...
 [1 1 0 ... 0 0 0]
 [1 1 1 ... 0 0 1]
 [1 0 1 ... 1 0 0]]"
17,m_astar,0.5,200,"[[0 0 0 ... 0 0 0]
 [0 0 1 ... 1 0 1]
 [1 0 1 ... 0 1 1]
 ...
 [1 1 0 ... 0 0 0]
 [1 1 1 ... 0 0 1]
 [1 0 1 ... 1 0 0]]"
18,dfs,0.5,200,"[[0 1 0 ... 1 0 1]
 [0 1 0 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 0 ... 0 0 0]
 [1 1 0 ... 0 0 1]
 [1 0 0 ... 0 1 0]]"
19,e_astar,0.5,200,"[[0 1 0 ... 1 0 1]
 [0 1 0 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 0 ... 0 0 0]
 [1 1 0 ... 0 0 1]
 [1 0 0 ... 0 1 0]]"
20,m_astar,0.5,200,"[[0 1 0 ... 1 0 1]
 [0 1 0 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 0 ... 0 0 0]
 [1 1 0 ... 0 0 1]
 [1 0 0 ... 0 1 0]]"
